Date,Start Time,End Time,Total Bets,Value
2024-07-30,00:04:46.276787,00:04:54.692524,3213,1.71
2024-07-30,00:05:00.605047,00:05:09.648816,3209,16
2024-07-30,00:05:15.194722,00:05:31.810286,2757,216
2024-07-30,00:05:37.130095,00:05:58.196586,3130,3.37
2024-07-30,00:06:03.100725,00:06:11.241300,2933,1.001
2024-07-30,00:06:18.680407,00:06:26.627449,2521,19
2024-07-30,00:06:35.220968,00:06:45.643311,2543,1.52
2024-07-30,00:06:50.318670,00:07:05.097567,2473,1.92
2024-07-30,00:07:12.334940,00:08:06.542097,2553,56.22
2024-07-30,00:08:11.176648,00:08:49.441617,3152,13.46
2024-07-30,00:08:57.235426,00:09:18.827540,3439,4
2024-07-30,00:09:26.028832,00:09:40.015286,,1.88
2024-07-30,00:09:47.171181,00:10:04.409540,3070,2.54
2024-07-30,00:10:08.971226,00:10:19.018508,3524,1.39
2024-07-30,00:10:25.589199,00:11:30.390765,3395,129.44
2024-07-30,00:11:37.147395,00:11:54.920507,3535,2.45
2024-07-30,00:11:59.467422,00:12:11.463954,3333,1.50
2024-07-30,00:12:18.411778,00:12:28.573565,3510,1.39
2024-07-30,00:12:36.168977,00:12:41.588832,3279,1.04
2024-07-30,00:12:48.833312,00:12:58.860160,2974,1.46
2024-07-30,00:13:05.986786,00:13:13.476068,2937,1.17
2024-07-30,00:13:22.651752,00:13:42.311266,2314,3.65
2024-07-30,00:13:49.861731,00:14:04.258131,3377,2.07
2024-07-30,00:14:10.755300,00:14:26.963199,,2.41
2024-07-30,00:14:33.909323,00:15:00.614671,3555,5.1
2024-07-30,00:15:07.921138,00:15:17.815518,3331,1.29
2024-07-30,00:15:22.410428,00:15:48.478703,3114,4.41
2024-07-30,00:15:55.013628,00:16:03.128595,3717,1.05
2024-07-30,00:16:10.814658,00:16:29.683319,3435,3.24
2024-07-30,00:16:36.827859,00:16:53.623209,3179,2.78
2024-07-30,00:17:00.648597,00:17:12.903123,3315,1.72
2024-07-30,00:17:19.944484,00:17:32.361826,3373,1.86
2024-07-30,00:17:39.227248,00:17:47.321182,3354,1.02
2024-07-30,00:17:51.834759,00:18:02.101004,2391,1.23
2024-07-30,00:18:06.610947,00:18:21.055727,2539,1.77
2024-07-30,00:18:28.026690,00:18:38.274592,2753,1.63
2024-07-30,00:18:47.479200,00:19:21.069100,2543,10.11
2024-07-30,00:19:26.020224,00:19:42.981820,3292,2.51
2024-07-30,00:19:50.094824,00:19:59.976634,3230,1.32
2024-07-30,00:20:07.209648,00:20:28.676002,2791,3.91
2024-07-30,00:20:36.285559,00:20:46.304512,3139,1.61
2024-07-30,00:20:52.857733,00:21:12.090364,3130,2.35
2024-07-30,00:21:16.542934,00:21:42.352752,2774,4.44
2024-07-30,00:21:46.621001,00:21:59.174978,3154,1.50
2024-07-30,00:22:06.398114,00:22:32.187644,2912,4.81
2024-07-30,00:22:39.783861,00:22:45.144145,3291,1.00
2024-07-30,00:22:49.662620,00:22:57.952265,,1.01
2024-07-30,00:23:03.119549,00:23:21.691217,2527,3.00
2024-07-30,00:23:28.660671,00:24:24.268484,3033,57.90
2024-07-30,00:24:28.802984,00:25:17.230816,3321,32.92
2024-07-30,00:25:21.768630,00:25:32.018185,3510,1.36
2024-07-30,00:25:38.612251,00:25:46.327814,2320,1.07
2024-07-30,00:25:53.441257,00:26:53.287054,2513,94.79
2024-07-30,00:27:00.538753,00:27:10.479691,3799,1.46
2024-07-30,00:27:17.781738,00:27:43.605696,3226,5.47
2024-07-30,00:27:48.152476,00:27:55.846887,3529,1.02
2024-07-30,00:28:02.704434,00:28:17.233427,3454,1.90
2024-07-30,00:28:24.651376,00:28:32.185297,3439,1.21
2024-07-30,00:28:39.410812,00:28:57.158692,3024,2.79
2024-07-30,00:29:01.918388,00:29:17.082724,3554,2.00
2024-07-30,00:29:24.461491,00:29:34.480817,3429,1.36
2024-07-30,00:29:41.777205,00:29:49.369652,2910,1.31
2024-07-30,00:29:56.234478,00:30:11.321099,2344,2.06
2024-07-30,00:30:18.613709,00:30:26.436117,3205,1.25
2024-07-30,00:30:33.866941,00:31:03.106438,2300,148
2024-07-30,00:31:10.118793,00:31:15.643616,3025,10
2024-07-30,00:31:22.695748,00:31:33.176175,3001,1.41
2024-07-30,00:31:37.840668,00:31:53.887483,2535,2.24
2024-07-30,00:32:00.949020,00:32:21.134688,2323,38
2024-07-30,00:32:25.548953,00:32:33.463965,2375,1.3
2024-07-30,00:32:40.279225,00:33:17.438316,2474,14.07
2024-07-30,00:33:24.122778,00:33:31.974037,3024,1.04
2024-07-30,00:33:38.935720,00:33:51.335456,2301,1.77
2024-07-30,00:33:58.621164,00:34:08.640063,2743,1.62
2024-07-30,00:34:16.025271,00:34:40.850379,2529,54
2024-07-30,00:34:47.814174,00:34:55.335349,2966,1.12
2024-07-30,00:35:02.103452,00:35:57.170868,2519,59.52
2024-07-30,00:36:02.151109,00:36:33.207257,2902,8.45
2024-07-30,00:36:39.657147,00:36:47.795683,3054,1.24
2024-07-30,00:36:54.733757,00:37:13.504275,2773,2.84
2024-07-30,00:37:20.633792,00:37:30.380567,3093,1.36
2024-07-30,00:37:37.174034,00:37:49.261896,3111,1.95
2024-07-30,00:37:55.835154,00:38:03.750736,,1.08
2024-07-30,00:38:10.671399,00:38:18.313472,2755,1.33
2024-07-30,00:38:25.124182,00:39:09.713502,2525,25.21
2024-07-30,00:39:15.993692,00:39:37.104783,3231,3.37
2024-07-30,00:39:44.017671,00:40:07.804543,3022,4.46
2024-07-30,00:40:14.751882,00:40:24.621237,3245,1.47
2024-07-30,00:40:31.701940,00:40:43.739540,2325,1.70
2024-07-30,00:40:50.798068,00:41:07.068797,2353,2.77
2024-07-30,00:41:13.484284,00:41:40.675854,3271,5.23
2024-07-30,00:41:45.318702,00:42:12.439081,3322,5.80
2024-07-30,00:42:19.075046,00:42:40.350508,3351,3.25
2024-07-30,00:42:47.276294,00:43:19.672689,3291,9.95
2024-07-30,00:43:26.511880,00:43:36.719719,3593,1.56
2024-07-30,00:43:44.035641,00:44:03.517619,3054,3.00
2024-07-30,00:44:08.024860,00:44:18.419812,3479,1.30
2024-07-30,00:44:25.930203,00:44:31.323697,3391,1.01
2024-07-30,00:44:38.097225,00:45:04.813003,2934,5.49
2024-07-30,00:45:11.494450,00:45:23.954422,3561,1.95
2024-07-30,00:45:31.001608,00:46:01.125911,3275,7.73
2024-07-30,00:46:08.358646,00:46:16.091092,3363,1.27
2024-07-30,00:46:23.216539,00:46:44.307616,3421,3.76
2024-07-30,00:46:51.486500,00:47:04.536899,3263,1.67
2024-07-30,00:47:09.025883,00:47:16.588252,3529,1.09
2024-07-30,00:47:23.666389,00:47:31.507851,3152,1.23
2024-07-30,00:47:38.709006,00:47:46.450119,2333,1.299
2024-07-30,00:47:53.039775,00:48:28.208264,2740,10.63
2024-07-30,00:48:32.939187,00:48:51.899145,3454,2.90
2024-07-30,00:48:58.491728,00:49:24.279641,3273,4.54
2024-07-30,00:49:28.908197,00:49:51.828623,3393,3.59
2024-07-30,00:49:56.123452,00:50:22.610157,3370,4.82
2024-07-30,00:50:29.782725,00:51:00.002309,3479,8.43
2024-07-30,00:51:07.249502,00:52:17.491658,3307,217.57
2024-07-30,00:52:21.842158,00:52:31.563301,3332,19
2024-07-30,00:52:38.793439,00:53:18.435446,3025,18.02
2024-07-30,00:53:25.675772,00:53:33.642803,3740,1.32
2024-07-30,00:53:40.363915,00:54:03.358150,3335,4.05
2024-07-30,00:54:10.631166,00:54:29.134952,3571,2.81
2024-07-30,00:54:33.539419,00:54:43.629087,3547,1.20
2024-07-30,00:54:50.851579,00:55:13.107674,3560,3.82
2024-07-30,00:55:17.619790,00:55:29.587777,3930,1.42
2024-07-30,00:55:36.299197,00:55:43.756499,3731,1.21
2024-07-30,00:55:50.360411,00:56:19.236736,3233,6.52
2024-07-30,00:56:26.256957,00:56:31.611813,3319,1.01
2024-07-30,00:56:39.009667,00:56:48.915307,3413,1.51
2024-07-30,00:56:56.492187,00:57:24.444939,3519,7.1
2024-07-30,00:57:31.925702,00:57:44.415124,3567,2.05
2024-07-30,00:57:51.145573,00:58:19.504332,3593,6.41
2024-07-30,00:58:26.406488,00:58:45.361044,3555,2.67
2024-07-30,00:58:49.910261,00:59:19.585480,3777,7.07
2024-07-30,00:59:26.008520,00:59:45.320815,3990,2.67
2024-07-30,00:59:52.879225,00:59:58.428944,3916,1.07
2024-07-30,01:00:05.877217,01:00:42.800172,,13.55
2024-07-30,01:00:47.415306,01:01:08.112925,,3.03
2024-07-30,01:01:15.744018,01:01:30.654186,4025,2.07
2024-07-30,01:01:37.717766,01:01:45.460194,3374,1.32
2024-07-30,01:01:52.588420,01:02:02.801608,3595,1.45
2024-07-30,01:02:09.605077,01:02:43.687610,3456,10.67
2024-07-30,01:02:50.850593,01:02:56.405192,4105,1.00
2024-07-30,01:03:03.607840,01:03:18.847835,3596,216
2024-07-30,01:04:19.850669,01:04:59.993392,3943,15.06
2024-07-30,01:05:07.438528,01:05:20.249955,4091,2
2024-07-30,01:05:26.911364,01:06:01.461108,3732,9.70
2024-07-30,01:06:06.139750,01:06:25.695683,4223,2.99
2024-07-30,01:06:32.254280,01:06:42.268342,4102,1.27
2024-07-30,01:06:48.779770,01:06:59.024062,3345,1.29
2024-07-30,01:07:05.994003,01:07:16.004409,3493,1.41
2024-07-30,01:07:23.254563,01:07:30.788336,3413,1.22
2024-07-30,01:07:38.014093,01:07:45.715956,3212,1.28
2024-07-30,01:07:53.068972,01:08:00.975911,3070,1.41
2024-07-30,01:08:08.123656,01:08:18.294922,3141,1.33
2024-07-30,01:08:25.671869,01:08:40.738513,3015,2.24
2024-07-30,01:08:45.153964,01:08:59.611127,3720,1.86
2024-07-30,01:09:06.066088,01:09:13.990805,3433,
2024-07-30,01:09:20.725892,01:09:28.575663,2900,9
2024-07-30,01:09:35.248668,01:10:02.390051,2300,6.02
2024-07-30,01:10:09.006414,01:10:17.083117,3439,1.06
2024-07-30,01:10:21.435122,01:10:48.979546,2932,5.63
2024-07-30,01:10:55.708227,01:11:03.652433,3174,1.29
2024-07-30,01:11:10.439901,01:12:01.285871,3332,39.53
2024-07-30,01:12:08.511720,01:12:27.567353,3505,3.20
2024-07-30,01:12:34.606832,01:12:42.153432,3579,1.24
2024-07-30,01:12:48.808570,01:13:42.098053,3342,48.55
2024-07-30,01:13:46.624703,01:14:01.027294,3730,1.80
2024-07-30,01:14:07.951684,01:14:46.285436,3330,14.34
2024-07-30,01:14:50.531211,01:15:05.096502,3596,1.92
2024-07-30,01:15:11.980257,01:15:27.011601,3909,2.31
2024-07-30,01:15:33.668997,01:15:45.954296,3357,1.44
2024-07-30,01:15:52.892238,01:16:04.548039,3725,1.76
2024-07-30,01:16:11.271699,01:16:28.047823,3433,2.43
2024-07-30,01:16:34.998801,01:16:56.045969,3317,3.80
2024-07-30,01:17:03.142006,01:17:30.780976,3742,6.61
2024-07-30,01:17:37.729765,01:17:43.124137,3925,1.00
2024-07-30,01:17:50.008609,01:18:04.052438,3453,1.84
2024-07-30,01:18:11.595444,01:18:21.714214,3322,1.68
2024-07-30,01:18:28.402203,01:18:56.689571,3473,5.44
2024-07-30,01:19:03.047903,01:19:13.171184,3919,1.32
2024-07-30,01:19:20.073235,01:19:30.215220,3590,1.42
2024-07-30,01:19:37.326366,01:19:56.196125,3257,2.76
2024-07-30,01:20:03.039398,01:20:08.355066,3553,1.05
2024-07-30,01:20:14.912653,01:20:20.713649,3191,1.00
2024-07-30,01:20:27.183154,01:20:39.975915,3161,1.55
2024-07-30,01:20:44.445242,01:21:04.794542,2953,2.95
2024-07-30,01:21:09.252368,01:21:17.328965,3123,1.01
2024-07-30,01:21:21.876847,01:21:32.019736,2754,1.27
2024-07-30,01:21:39.299290,01:22:23.432457,2501,26.21
2024-07-30,01:22:30.617017,01:22:40.603771,3105,1.42
2024-07-30,01:22:45.097890,01:22:54.721739,2395,1.20
2024-07-30,01:23:01.435336,01:23:08.797859,2320,16
2024-07-30,01:23:13.305449,01:23:36.459660,2575,4.26
2024-07-30,01:23:43.061258,01:23:52.853375,2905,1.33
2024-07-30,01:23:59.650890,01:24:09.381465,2597,1.34
2024-07-30,01:24:13.671092,01:24:35.618703,2493,3.47
2024-07-30,01:24:42.785028,01:24:52.342051,2597,1.45
2024-07-30,01:24:59.545671,01:25:09.856076,2433,1.68
2024-07-30,01:25:17.238916,01:25:26.848434,2539,1.49
2024-07-30,01:25:35.435852,01:26:07.507269,2451,9.85
2024-07-30,01:26:14.646610,01:26:35.072428,2553,3.91
2024-07-30,01:26:41.321204,01:26:54.152418,2732,1.75
2024-07-30,01:27:00.717980,01:27:15.358544,2450,2.07
2024-07-30,01:27:27.025992,01:27:45.755416,2794,2.96
2024-07-30,01:27:50.263645,01:28:00.128145,2545,1.36
2024-07-30,01:28:06.525405,01:28:27.036837,2506,3.43
2024-07-30,01:28:33.709657,01:29:00.470075,2332,5.75
2024-07-30,01:29:06.841228,01:29:14.820896,2735,1.28
2024-07-30,01:29:21.534139,01:29:29.424265,2723,1.22
2024-07-30,01:29:36.295271,01:29:59.020822,2503,4.42
2024-07-30,01:30:05.527544,01:30:13.228058,2920,191
2024-07-30,01:30:19.760166,01:30:43.323106,2553,4.11
2024-07-30,01:30:49.749059,01:31:03.714676,2533,1.76
2024-07-30,01:31:08.205488,01:31:17.592167,2323,1.27
2024-07-30,01:31:25.295494,01:31:41.627206,2554,2.41
2024-07-30,01:31:46.644537,01:32:00.838078,2433,1.92
2024-07-30,01:32:08.632062,01:32:25.993834,,2.97
2024-07-30,01:32:33.665183,01:32:42.255056,2317,1.54
2024-07-30,01:32:49.953766,01:33:16.332124,2403,5.64
