Date,Start Time,End Time,Total Bets,Value
2024-07-22,00:43:46.490786,00:43:54.669376,1547,1.20
2024-07-22,00:44:01.730217,00:44:30.059214,1734,6.40
2024-07-22,00:44:35.022659,00:44:43.101414,1950,1.30
2024-07-22,00:44:50.181976,00:44:58.677241,1552,1.00
2024-07-22,00:45:01.429122,00:45:09.622527,1674,1.16
2024-07-22,00:45:16.893763,00:45:31.857501,1618,1.89
2024-07-22,00:45:36.300275,00:45:59.005083,1699,3.95
2024-07-22,00:46:06.570318,00:46:12.357828,1749,1.12
2024-07-22,00:46:19.430171,00:46:27.317596,1550,1.26
2024-07-22,00:46:31.863049,00:46:42.373424,,1.35
2024-07-22,00:46:46.919349,00:46:52.773025,1354,
2024-07-22,00:47:00.070777,00:47:08.287362,1373,1.4
2024-07-22,00:47:15.900202,00:47:28.398491,1235,1.90
2024-07-22,00:47:32.939650,00:47:55.064097,1355,3.54
2024-07-22,00:47:59.636391,00:48:17.055134,1413,2.48
2024-07-22,00:48:24.470701,00:48:41.896523,1433,2.76
2024-07-22,00:48:49.214108,00:48:59.289719,1437,1.45
2024-07-22,00:49:04.058314,00:49:12.073347,,1.17
2024-07-22,00:49:19.069435,00:49:26.686865,1210,1.22
2024-07-22,00:49:31.198840,00:50:00.734344,1176,6.91
2024-07-22,00:50:07.835719,00:50:30.140027,1533,4.45
2024-07-22,00:50:37.806641,00:51:01.834264,1547,5.14
2024-07-22,00:51:09.247930,00:51:17.278611,1545,1.29
2024-07-22,00:51:21.920633,00:52:05.156284,1353,21.74
2024-07-22,00:52:09.908649,00:52:15.568782,,1.00
2024-07-22,00:52:23.188855,00:53:00.936947,1541,14.29
2024-07-22,00:53:05.936567,00:53:28.415046,1617,4.33
2024-07-22,00:53:36.125952,00:53:56.429890,,3.41
2024-07-22,00:54:01.131924,00:54:09.416290,,1.13
2024-07-22,00:54:14.071760,00:54:34.491847,1654,2.94
2024-07-22,00:54:39.095692,00:54:49.782708,1861,1.46
2024-07-22,00:54:57.379789,00:55:14.887768,,2.71
2024-07-22,00:55:20.070813,00:55:26.101432,1684,1.11
2024-07-22,00:55:33.207326,00:55:46.071345,,1.98
2024-07-22,00:55:53.242300,00:56:03.566183,1741,1.47
2024-07-22,00:56:08.365111,00:56:33.289955,1617,4.76
2024-07-22,00:56:40.952207,00:56:49.172400,,1.46
2024-07-22,00:56:56.440433,00:57:07.114204,1653,1.69
2024-07-22,00:57:15.121073,00:57:20.903084,1595,1.20
2024-07-22,00:57:28.104676,00:57:47.729669,1533,3.39
2024-07-22,00:57:52.411437,00:58:04.506781,,1.55
2024-07-22,00:58:11.222508,00:58:21.329986,1520,1.47
2024-07-22,00:58:26.013855,00:59:07.896133,1350,19.91
2024-07-22,00:59:15.035907,00:59:23.065421,1618,1.28
2024-07-22,00:59:27.852101,00:59:56.996644,1504,6.98
2024-07-22,01:00:04.434030,01:00:12.229091,1535,1.31
2024-07-22,01:00:19.596728,01:00:25.904797,1634,1.07
2024-07-22,01:00:30.809124,01:00:36.624552,1430,1.03
2024-07-22,01:00:41.319428,01:00:49.566330,1376,1.00
2024-07-22,01:00:55.128631,01:01:00.562410,1345,1.00
2024-07-22,01:01:05.274297,01:01:34.884260,1245,7.18
2024-07-22,01:01:42.232263,01:01:50.206462,1559,1.28
2024-07-22,01:01:54.892294,01:02:20.850049,1359,4.70
2024-07-22,01:02:25.449576,01:02:31.164991,1401,1.00
2024-07-22,01:02:37.922956,01:02:55.169138,,2.45
2024-07-22,01:03:00.584447,01:03:19.141464,,2.85
2024-07-22,01:03:23.686290,01:03:29.707836,1433,1.04
2024-07-22,01:03:37.135309,01:03:42.518385,1321,1.00
2024-07-22,01:03:47.163227,01:03:55.217067,1243,1.08
2024-07-22,01:03:59.798320,01:04:19.553792,1119,2.86
2024-07-22,01:04:24.111305,01:05:23.491346,1275,83.30
2024-07-22,01:05:30.197297,01:05:37.622624,1332,1.19
2024-07-22,01:05:41.878240,01:05:58.414326,,2.26
2024-07-22,01:06:05.476903,01:06:10.690947,1302,1.02
2024-07-22,01:06:15.052496,01:06:24.535194,127,1.30
2024-07-22,01:06:31.369752,01:06:45.444007,1135,2.17
2024-07-22,01:06:52.096273,01:07:19.531473,1232,6.64
2024-07-22,01:07:26.201838,01:07:33.959466,1235,1.24
2024-07-22,01:07:40.614921,01:07:54.819949,1150,2.02
2024-07-22,01:07:59.170696,01:08:13.069372,1314,1.79
2024-07-22,01:08:17.576348,01:08:29.633287,1295,1.54
2024-07-22,01:08:36.113633,01:08:54.565312,1205,3.09
2024-07-22,01:08:58.919189,01:09:13.006471,1297,1.71
2024-07-22,01:09:17.432725,01:09:51.629905,1153,10.46
2024-07-22,01:09:58.639861,01:10:19.187838,1253,3.61
2024-07-22,01:10:23.473641,01:10:54.893752,1293,7.46
2024-07-22,01:10:59.290419,01:11:11.679789,1408,1.49
2024-07-22,01:11:16.051965,01:11:21.517138,,331.00
2024-07-22,01:11:28.117229,01:11:35.740729,1213,1.15
2024-07-22,01:11:42.336914,01:11:54.195359,1176,1.69
2024-07-22,01:11:58.942841,01:12:04.450747,1253,1.01
2024-07-22,01:12:11.165531,01:12:21.028299,1132,1.59
2024-07-22,01:12:27.808772,01:12:39.933762,,1.64
2024-07-22,01:12:44.486680,01:12:50.025436,,1.00
2024-07-22,01:12:56.949499,01:13:06.154717,,1.43
2024-07-22,01:13:12.845040,01:13:28.379387,,2.45
2024-07-22,01:13:34.810958,01:13:42.950701,,1.3490.5
2024-07-22,01:13:50.129183,01:13:57.358209,,1.19
2024-07-22,01:14:03.867861,01:14:17.416973,,2.30
2024-07-22,01:14:23.843942,01:14:46.801090,959,4.10
2024-07-22,01:14:52.338306,01:14:59.955217,1041,1.12
2024-07-22,01:15:07.109197,01:15:26.694938,,3.58
2024-07-22,01:15:33.803401,01:15:51.461830,,3.00
2024-07-22,01:15:57.726216,01:16:05.372294,1022,1.12
2024-07-22,01:16:10.057562,01:16:19.482716,,1.45
2024-07-22,01:16:26.315310,01:16:31.511342,,1.05
2024-07-22,01:16:38.183359,01:16:51.805374,,2.16
2024-07-22,01:16:58.380976,01:17:27.811346,950,6.93
2024-07-22,01:17:32.125712,01:17:50.025419,,2.55
2024-07-22,01:17:56.679725,01:18:08.327910,975,1.69
2024-07-22,01:18:12.692839,01:18:35.083776,,3.99
2024-07-22,01:18:41.448965,01:19:00.272115,1101,2.99
2024-07-22,01:19:04.641507,01:19:21.039160,1125,2.27
2024-07-22,01:19:27.981138,01:19:33.197972,1059,1.02
2024-07-22,01:19:39.902563,01:19:45.267231,979,1.07
2024-07-22,01:19:52.299386,01:20:02.123343,333,1.64
2024-07-22,01:20:09.337985,01:20:20.944914,927,1.76
2024-07-22,01:20:27.509662,01:20:48.404296,374,3.53
2024-07-22,01:20:53.269821,01:21:35.553768,,19.71
2024-07-22,01:21:39.985036,01:22:16.588324,1093,12.12
2024-07-22,01:22:21.336799,01:22:50.481118,1135,7.14
2024-07-22,01:22:57.689490,01:23:03.004605,,1.00
2024-07-22,01:23:07.373650,01:23:17.464105,923,1.32
2024-07-22,01:23:24.325866,01:23:33.324454,,1.38
2024-07-22,01:23:37.330199,01:23:52.698818,,2.13
2024-07-22,01:23:59.578812,01:24:18.341066,1176,3.28
2024-07-22,01:24:25.039399,01:25:34.662026,1213,227.36
2024-07-22,01:25:41.552835,01:25:47.109621,127,1.00
2024-07-22,01:25:51.279652,01:26:00.770009,,1.33
2024-07-22,01:26:07.303911,01:26:19.086279,955,1.68
2024-07-22,01:26:26.168549,01:26:31.277461,1137,1.01
2024-07-22,01:26:35.536239,01:26:51.219597,,2.04
2024-07-22,01:26:57.318595,01:27:11.579207,1230,2.11
2024-07-22,01:27:18.363927,01:27:42.249684,1275,4.59
2024-07-22,01:27:46.985288,01:28:03.244454,1291,2.64
2024-07-22,01:28:10.188771,01:28:21.953066,1219,1.74
2024-07-22,01:28:28.918447,01:28:36.061901,,1.20
2024-07-22,01:28:42.515156,01:29:04.707192,959,4.51
2024-07-22,01:29:11.499007,01:30:02.413272,1330,43.20
2024-07-22,01:30:08.852868,01:30:24.290408,1275,2.20
2024-07-22,01:30:28.701731,01:30:53.783131,1200,4.31
2024-07-22,01:30:58.393177,01:31:10.408860,1323,1.63
2024-07-22,01:31:15.210128,01:31:29.504704,1049,2.05
2024-07-22,01:31:36.368730,01:31:41.629465,1292,1.01
2024-07-22,01:31:48.352755,01:32:00.351268,1209,1.64
2024-07-22,01:32:04.874363,01:32:49.257187,1105,22.91
2024-07-22,01:32:53.532518,01:33:13.217474,1332,2.78
2024-07-22,01:33:17.403294,01:33:33.243723,1257,2.12
2024-07-22,01:33:39.756733,01:33:51.601464,1255,1.86
2024-07-22,01:33:58.474335,01:34:23.368664,1129,5.30
2024-07-22,01:34:30.033669,01:34:56.937633,1434,6.22
2024-07-22,01:35:03.431994,01:35:15.636939,1437,1.71
2024-07-22,01:35:20.027914,01:35:38.157255,1345,2.77
