Date,Start Time,End Time,Total Bets,Value
2024-07-28,22:48:04.918583,,,0
,,22:48:05.586401,3311,2.26
2024-07-28,22:49:54.314513,22:50:00.856132,3972,
2024-07-28,22:50:10.651166,22:50:26.201259,3599,1.52
2024-07-28,22:50:34.907288,22:50:54.055068,,3.35
2024-07-28,22:51:01.555115,22:51:42.200631,7340,12.05
2024-07-28,22:51:49.247624,22:51:57.259702,7337,1.16
2024-07-28,22:52:06.350454,22:52:18.658585,,1.91
2024-07-28,22:52:27.488977,22:52:46.959498,7322,2.40
2024-07-28,22:52:53.978207,22:53:09.170894,7731,1.57
2024-07-28,22:53:18.835757,22:53:26.826191,7332,1.11
2024-07-28,22:53:35.490604,22:53:59.451902,7113,3.80
2024-07-28,22:54:06.375377,22:54:23.094086,7255,1.49
2024-07-28,22:54:30.101290,22:54:46.960321,,2.03
2024-07-28,22:54:53.968740,22:55:08.775024,,1.67
2024-07-28,22:55:15.688832,22:55:44.325646,,3.26
2024-07-28,22:56:21.972092,22:56:29.924759,3537,3.23
2024-07-28,22:56:37.016315,22:59:06.297795,,1.52
2024-07-28,22:59:11.666900,22:59:33.868315,3332,2.69
2024-07-28,22:59:38.981560,22:59:48.835018,7015,1.33
2024-07-28,22:59:58.231926,23:00:22.222499,3257,4.05
2024-07-28,23:00:29.106124,23:00:49.883958,3425,2.34
2024-07-28,23:00:54.683634,23:01:04.649396,3530,1.35
2024-07-28,23:01:14.348139,23:01:33.711389,,3.45
2024-07-28,23:01:40.118943,23:01:50.563551,3552,1.37
2024-07-28,23:02:01.694126,23:02:24.534240,3557,3.42
2024-07-28,23:02:32.539681,23:02:38.144761,5717,1.10
2024-07-28,23:02:48.927492,23:03:10.161213,3110,3.83
2024-07-28,23:03:14.985475,23:03:34.800254,5577,2.63
2024-07-28,23:03:44.213683,23:03:56.858065,3374,1.63
2024-07-28,23:04:03.711393,23:04:16.257340,,1.51
2024-07-28,23:04:22.919212,23:04:33.017843,5715,1.05
2024-07-28,23:04:37.743432,23:05:48.520740,3023,4.53
2024-07-28,23:05:50.980076,23:06:10.142467,5952,2.08
2024-07-28,23:06:12.438179,23:06:32.298367,5493,2.63
2024-07-28,23:06:36.961025,23:06:45.282999,5861,1.15
2024-07-28,23:06:52.035616,23:07:02.605269,4930,1.37
2024-07-28,23:07:09.620594,23:07:28.878248,,2.79
2024-07-28,23:07:35.636090,23:07:54.538698,5524,2.46
2024-07-28,23:08:01.612719,23:08:14.405715,5545,1.80
2024-07-28,23:08:23.786245,23:08:34.462075,5065,1.50
2024-07-28,23:08:41.649919,23:08:54.522867,5132,1.41
2024-07-28,23:09:01.643912,23:09:19.798480,,3.17
2024-07-28,23:09:27.067036,23:09:45.940394,5522,2.42
2024-07-28,23:09:54.523624,23:10:02.281230,5222,1.30
2024-07-28,23:10:09.165308,23:10:19.693264,4472,1.34
2024-07-28,23:10:29.111588,23:10:37.473570,4490,16
2024-07-28,23:10:44.305239,23:11:01.476374,4415,1.95
2024-07-28,23:11:08.882852,23:11:26.244049,4505,3.26
2024-07-28,23:11:33.347818,23:11:51.202939,4911,2.18
2024-07-28,23:11:58.686030,23:12:04.501874,4554,1.03
2024-07-28,23:12:11.901522,23:12:51.598544,,5.5
2024-07-28,23:13:12.092850,23:13:22.592935,4553,1.27
2024-07-28,23:13:29.317781,23:13:55.429968,4493,4.39
2024-07-28,23:14:00.261034,23:14:14.672271,5125,1.65
2024-07-28,23:14:21.432685,23:15:23.772494,4365,92.00
2024-07-28,23:15:29.085926,23:15:39.320101,5056,1.00
2024-07-28,23:15:44.145191,23:16:05.919516,4320,1.02
2024-07-28,23:16:10.979120,23:16:20.684418,,1.46
2024-07-28,23:16:27.143113,23:16:44.641351,4268,2.31
2024-07-28,23:16:54.306493,23:17:07.486076,4353,1.50
