Date,Start Time,End Time,Total Bets,Value
2024-07-31,02:15:56.413299,02:16:10.000729,3137,1.90
2024-07-31,02:16:17.749953,02:16:40.539967,3125,4.66
2024-07-31,02:16:47.937026,02:16:56.116146,3373,1.24
2024-07-31,02:17:03.869257,02:17:14.836831,3097,1.73
2024-07-31,02:17:22.564998,02:17:28.384111,3122,1.17
2024-07-31,02:17:36.247374,02:17:42.005479,2790,1.00
2024-07-31,02:17:47.029242,02:17:53.012135,2534,1.02
2024-07-31,02:18:00.660982,02:18:26.557561,2403,5.57
2024-07-31,02:18:31.398644,02:18:42.773366,,1.42
2024-07-31,02:18:50.624851,02:19:22.538388,2755,9.67
2024-07-31,02:19:27.489887,02:19:51.769610,2353,4.48
2024-07-31,02:19:58.862611,02:20:04.963121,2994,1.3
2024-07-31,02:20:12.303163,02:20:25.548169,2733,2.03
2024-07-31,02:20:33.460752,02:20:43.725140,2959,1.51
2024-07-31,02:20:51.009569,02:20:59.136034,2795,1.35
2024-07-31,02:21:06.471121,02:21:11.653533,2553,1.05
2024-07-31,02:21:18.344007,02:21:32.594565,2270,2.06
2024-07-31,02:21:39.614533,02:21:57.561797,2504,3.22
2024-07-31,02:22:04.167289,02:22:28.458126,2550,4.57
2024-07-31,02:22:35.184009,02:22:49.517654,2534,2.17
2024-07-31,02:22:56.837666,02:23:02.248215,2501,1.11
2024-07-31,02:23:09.210761,02:23:35.667029,2234,5.97
2024-07-31,02:23:42.362600,02:23:49.979388,2557,1.31
2024-07-31,02:23:56.530691,02:24:04.207433,2527,1.219
2024-07-31,02:24:10.503249,02:24:26.391942,2257,2.16
2024-07-31,02:24:33.336686,02:24:51.300575,2427,2.89
2024-07-31,02:24:58.198034,02:25:20.106628,2433,3.91
2024-07-31,02:25:24.612245,02:26:29.719161,2537,132.14
2024-07-31,02:26:36.726144,02:27:05.671013,2571,7.62
2024-07-31,02:27:12.805152,02:27:22.942258,2543,1.61
2024-07-31,02:27:30.308349,02:27:39.977065,2412,1.08
2024-07-31,02:27:46.698048,02:28:01.102812,2291,2.14
2024-07-31,02:28:05.567847,02:28:49.108643,2745,22.65
2024-07-31,02:28:56.425745,02:29:14.397764,2939,2.74
2024-07-31,02:29:21.423140,02:29:33.401566,2312,1.74
2024-07-31,02:29:37.714185,02:30:10.770598,2537,8.17
2024-07-31,02:30:15.273126,02:30:25.928662,,1.44
2024-07-31,02:30:33.139728,02:30:43.067365,2945,1.47
2024-07-31,02:30:50.359055,02:31:11.688023,2313,3.69
2024-07-31,02:31:16.207514,02:31:27.743967,3096,1.45
2024-07-31,02:31:35.520721,02:31:45.187633,2325,1.75
2024-07-31,02:31:51.412968,02:32:11.423013,2923,2.90
2024-07-31,02:32:18.187679,02:32:32.100922,2336,239
2024-07-31,02:32:38.494892,02:32:54.734359,2896,2.07
2024-07-31,02:32:59.067680,02:33:27.046054,2315,5.43
2024-07-31,02:33:31.392053,02:33:45.923764,2931,1.98
2024-07-31,02:33:52.802494,02:34:02.917459,2715,1.49
2024-07-31,02:34:09.770216,02:34:17.523631,2535,1.16
2024-07-31,02:34:24.373020,02:34:31.755628,2329,1.23
2024-07-31,02:34:38.514793,02:34:50.109389,2230,1.91
2024-07-31,02:34:56.300229,02:35:13.599583,2432,2.44
2024-07-31,02:35:20.816396,02:35:26.194539,2545,1.00
2024-07-31,02:35:33.552580,02:35:54.766465,2335,4.18
2024-07-31,02:36:01.924363,02:36:15.695811,2426,2.33
2024-07-31,02:36:21.933415,02:36:43.272015,2499,3.01
2024-07-31,02:36:50.121146,02:37:09.232400,2521,2.89
2024-07-31,02:37:13.524774,02:37:32.388236,2501,2.57
2024-07-31,02:37:36.917601,02:37:59.862257,2512,3.62
2024-07-31,02:38:04.240439,02:38:14.215790,2591,1.34
2024-07-31,02:38:21.003045,02:38:49.025462,2302,6.50
2024-07-31,02:38:56.404279,02:39:01.841212,2353,1.16
2024-07-31,02:39:08.244983,02:39:15.941667,2537,1.11
2024-07-31,02:39:22.708161,02:39:32.542762,2275,1.44
2024-07-31,02:39:39.407777,02:39:46.865414,2223,1.32
2024-07-31,02:39:53.284363,02:40:02.882257,2023,1.27
2024-07-31,02:40:07.256374,02:40:19.576366,1975,1.72
2024-07-31,02:40:26.601250,02:40:34.484850,2107,1.12
2024-07-31,02:40:39.250551,02:41:29.441955,1772,35.76
2024-07-31,02:41:33.928505,02:41:52.894175,2432,2.70
2024-07-31,02:41:57.292135,02:42:35.841612,2451,12.84
2024-07-31,02:42:40.308996,02:42:54.017389,2547,1.82
2024-07-31,02:43:01.060622,02:43:16.714049,,2.69
2024-07-31,02:43:23.189155,02:43:49.832540,2686,5.62
2024-07-31,02:43:56.713126,02:44:09.002391,2315,1.85
2024-07-31,02:44:15.482856,02:44:23.153557,2519,1.04
2024-07-31,02:44:27.615393,02:44:37.626440,2293,1.40
2024-07-31,02:44:44.472423,02:44:50.128943,2197,1.01
2024-07-31,02:44:56.975169,02:45:21.358300,2057,5.27
2024-07-31,02:45:27.875285,02:45:45.801877,2575,1.93
2024-07-31,02:45:54.085757,02:46:10.896619,2473,3.09
2024-07-31,02:46:17.744265,02:46:42.860258,2457,5.05
2024-07-31,02:46:47.110425,02:46:54.743422,2713,1.12
2024-07-31,02:47:01.670395,02:47:09.269046,2431,1.13
2024-07-31,02:47:16.297840,02:47:23.854088,2134,1.16
2024-07-31,02:47:28.140476,02:47:48.387061,2003,3.00
2024-07-31,02:47:52.727681,02:48:02.574888,2590,1.30
2024-07-31,02:48:09.214706,02:48:21.259582,2135,1.73
2024-07-31,02:48:28.325715,02:49:12.111904,2043,24.45
2024-07-31,02:49:16.626473,02:49:35.234414,2404,2.68
2024-07-31,02:49:42.732901,02:50:08.227523,2315,5.55
2024-07-31,02:50:12.672360,02:50:38.457798,2453,5.41
2024-07-31,02:50:45.009482,02:51:00.899362,2593,2.21
2024-07-31,02:51:07.984817,02:51:13.532915,2493,1.05
2024-07-31,02:51:20.363857,02:51:32.446381,2109,1.79
2024-07-31,02:51:39.576623,02:51:53.394553,2265,2.09
