Date,Start Time,End Time,Total Bets,Value
2024-07-23,02:07:48.189711,02:07:51.104343,1672,18.39
2024-07-23,02:07:58.536533,02:08:09.314854,1557,1.92
2024-07-23,02:08:18.062582,02:08:58.285939,1776,17.54
2024-07-23,02:09:02.517832,02:09:21.406649,1776,2.93
2024-07-23,02:09:28.281552,02:09:33.616903,,1.06
2024-07-23,02:09:40.074881,02:09:48.074866,1722,1.41
2024-07-23,02:09:56.561686,02:10:15.534164,1751,2.96
2024-07-23,02:10:18.683729,02:10:31.897001,2030,1.79
2024-07-23,02:10:37.773472,02:10:49.586276,1902,1.54
2024-07-23,02:10:57.948088,02:11:18.943665,1532,4.88
2024-07-23,02:11:28.071493,02:11:37.488908,1940,1.63
2024-07-23,02:11:44.830996,02:12:02.663859,1792,2.94
2024-07-23,02:12:09.004173,02:12:23.296233,1547,2.05
2024-07-23,02:12:30.121711,02:12:37.012901,1574,1.00
2024-07-23,02:12:43.581531,02:12:47.210266,1753,1.06
2024-07-23,02:12:57.657554,02:13:02.220140,1638,1.18
2024-07-23,02:13:10.980865,02:13:27.042662,1509,3.16
2024-07-23,02:13:36.059275,02:13:42.549129,1779,1.49
2024-07-23,02:13:49.050519,02:14:07.673566,1535,2.88
2024-07-23,02:14:13.992897,02:14:34.393560,1551,3.53
2024-07-23,02:14:40.999647,02:15:13.720233,1654,9.51
2024-07-23,02:16:36.477287,02:16:40.854153,1535,1.13
2024-07-23,02:16:49.663364,02:17:12.667461,1473,4.37
2024-07-23,02:17:18.819087,02:17:39.474974,1713,2.97
2024-07-23,02:17:45.241586,02:18:31.284493,1705,31.58
2024-07-23,02:18:34.498755,02:19:04.769926,1658,7.67
2024-07-23,02:19:13.503740,02:19:26.249043,1725,2.26
2024-07-23,02:19:33.414009,02:19:39.776832,1619,1.14
2024-07-23,02:19:46.610154,02:19:56.284262,1422,1.43
2024-07-23,02:20:04.051227,02:20:18.968024,1555,2.69
2024-07-23,02:20:26.259819,02:20:41.969918,1861,2.61
2024-07-23,02:20:49.250482,02:21:11.421978,1541,4.91
2024-07-23,02:21:18.101595,02:22:09.172896,,38.86
2024-07-23,02:22:15.048226,02:22:31.398366,,2.86
2024-07-23,02:22:39.306411,02:22:49.675013,1779,1.43
2024-07-23,02:22:55.301002,02:23:15.073334,1594,3.26
2024-07-23,02:23:22.177155,02:23:31.066221,1942,1.53
2024-07-23,02:23:38.121518,02:23:58.588687,,3.86
2024-07-23,02:24:05.559516,02:24:28.035670,1759,4.75
2024-07-23,02:24:37.756520,02:24:46.870987,2091,1.34
2024-07-23,02:24:50.785707,02:25:12.578149,,3.56
2024-07-23,02:25:19.987345,02:25:47.161894,2027,7.68
2024-07-23,02:25:55.432028,02:26:02.042098,2023,1.35
2024-07-23,02:26:12.127086,02:26:18.502519,197,1.25
2024-07-23,02:26:24.534909,02:26:47.657999,,4.47
2024-07-23,02:26:56.259670,02:27:08.331439,2159,2.13
2024-07-23,02:27:14.670928,02:27:21.225705,1945,1.03
2024-07-23,02:27:27.531652,02:27:55.162464,1711,6.61
2024-07-23,02:28:00.762815,02:28:15.393800,2129,2.00
2024-07-23,02:28:20.943789,02:28:29.755810,,1.25
2024-07-23,02:28:35.364938,02:28:42.100158,,
2024-07-23,02:28:50.820142,02:29:21.144655,1754,8.12
2024-07-23,02:29:27.325758,02:29:36.928370,2114,1.67
2024-07-23,02:29:45.638540,02:29:54.597740,1579,1.51
2024-07-23,02:30:00.025567,02:30:12.112206,1920,1.77
2024-07-23,02:30:22.096728,02:30:34.337312,,2.13
2024-07-23,02:30:40.121174,02:30:46.928552,1575,1.1
2024-07-23,02:30:55.694089,02:31:06.318896,1533,1.75
2024-07-23,02:31:12.094098,02:32:02.537759,,40.40
2024-07-23,02:32:08.819870,02:32:32.344030,,4.61
2024-07-23,02:32:39.198989,02:32:43.164524,,03
2024-07-23,02:32:51.878172,02:33:16.811479,1412,5.63
2024-07-23,02:33:22.949655,02:33:34.127680,1775,1.74
2024-07-23,02:33:40.060127,02:33:49.060702,1792,1.34
2024-07-23,02:33:55.489108,02:34:24.808250,1630,7.26
2024-07-23,02:34:31.211118,02:35:38.362097,1777,171.57
2024-07-23,02:35:44.262946,02:35:58.609006,1749,1.95
2024-07-23,02:36:03.929844,02:36:15.254722,,1.71
2024-07-23,02:36:22.975285,02:36:29.089846,1721,1.19
2024-07-23,02:36:37.556099,02:36:54.565473,1530,2.74
2024-07-23,02:37:00.566256,02:37:06.767892,1933,1.03
2024-07-23,02:37:12.609863,02:37:21.558818,1692,1.36
2024-07-23,02:37:27.561098,02:37:40.006589,1624,1.73
2024-07-23,02:37:46.798937,02:38:12.845792,1725,5.89
2024-07-23,02:38:19.363311,02:38:39.506611,1524,3.50
2024-07-23,02:38:46.493113,02:39:32.159862,1534,33.66
2024-07-23,02:39:37.790670,02:40:03.248886,1752,5.21
2024-07-23,02:40:11.562376,02:40:34.135619,1777,5.08
2024-07-23,02:40:42.457234,02:40:51.473817,1554,1.34
2024-07-23,02:40:58.516679,02:41:02.542974,1435,1.00
2024-07-23,02:41:08.773565,02:41:12.486088,1499,1.00
2024-07-23,02:41:21.849873,02:41:30.990726,1537,1.59
2024-07-23,02:41:37.360699,02:41:46.171831,1635,1.24
2024-07-23,02:41:53.205674,02:42:04.998558,1521,2.00
2024-07-23,02:42:14.039544,02:42:34.355122,,3.53
2024-07-23,02:42:42.301296,02:42:55.529293,1914,2743
2024-07-23,02:43:01.058989,02:43:10.730089,1861,1.30
2024-07-23,02:43:16.481527,02:43:32.839555,1544,2.30
2024-07-23,02:43:38.622790,02:44:16.008553,1727,14.31
